t (s),V (mV)
0,13.2544
0.999,13.2446
1.999,13.2328
2.999,13.2227
3.999,13.2114
4.998,13.2005
5.998,13.1885
6.998,13.177
7.999,13.1658
8.999,13.1544
9.999,13.1422
10.999,13.1315
11.999,13.119
12.999,13.1073
13.999,13.0972
14.999,13.0849
15.999,13.0749
16.999,13.0623
17.999,13.0496
18.999,13.0385
19.999,13.0267
20.999,13.0142
21.999,13.0017
22.999,12.9902
23.999,12.9782
24.999,12.9673
25.998,12.9547
26.998,12.9429
27.998,12.9309
28.998,12.9194
29.999,12.9069
30.998,12.8952
31.998,12.8842
32.998,12.8698
33.998,12.8597
34.998,12.8475
35.999,12.8359
36.999,12.824
37.999,12.8116
38.999,12.7994
39.999,12.7879
40.999,12.7755
41.998,12.7634
42.999,12.7514
43.999,12.7388
44.998,12.727
45.998,12.715
46.998,12.7035
47.998,12.6917
48.998,12.6801
49.998,12.6678
50.998,12.6558
51.998,12.6438
52.999,12.6319
53.999,12.6198
54.999,12.6081
55.999,12.5961
56.999,12.5842
57.999,12.5727
58.999,12.5622
59.999,12.5506
60.999,12.5387
61.999,12.5275
62.999,12.5162
63.999,12.505
64.998,12.4949
65.998,12.4841
66.998,12.4727
67.998,12.4622
68.998,12.4506
69.998,12.4394
70.999,12.4281
71.999,12.417
72.999,12.4058
73.999,12.3945
74.999,12.3831
75.999,12.3729
76.999,12.3625
77.999,12.351
78.999,12.3405
79.998,12.3298
80.999,12.3181
81.999,12.3074
82.999,12.2965
83.999,12.2848
84.999,12.2736
85.999,12.2618
86.999,12.2508
87.999,12.2402
88.999,12.2285
89.999,12.2178
90.999,12.2066
91.998,12.1948
92.999,12.183
93.999,12.1725
94.999,12.1607
95.999,12.1518
96.998,12.1406
97.999,12.129
98.999,12.1186
99.999,12.1085
100.999,12.0974
101.999,12.087
102.998,12.0768
103.998,12.0666
104.998,12.0556
105.998,12.046
106.998,12.0354
107.999,12.0249
108.999,12.0136
109.999,12.0036
110.999,11.9924
111.999,11.9825
112.998,11.9725
113.998,11.9617
114.999,11.9512
115.999,11.9405
116.999,11.9304
117.999,11.9193
118.998,11.9102
119.998,11.8994
120.999,11.8891
121.999,11.878
122.999,11.8678
123.999,11.8581
124.998,11.8475
125.999,11.8366
126.999,11.8268
127.999,11.8156
128.999,11.8054
129.998,11.7957
130.999,11.7851
131.999,11.7736
132.999,11.7646
133.999,11.7538
134.999,11.7427
135.999,11.7328
136.999,11.7234
137.998,11.7123
138.999,11.7015
139.999,11.6932
140.999,11.6847
141.998,11.6714
142.999,11.6633
143.999,11.6529
144.999,11.6441
145.998,11.6341
146.999,11.6247
147.999,11.6155
148.999,11.6058
149.998,11.5951
150.999,11.5858
151.999,11.5772
152.999,11.5666
153.998,11.5568
154.998,11.5464
155.998,11.5378
156.998,11.5286
157.999,11.519
158.999,11.5101
159.999,11.4994
160.999,11.4902
161.998,11.4802
162.998,11.4702
163.999,11.4606
164.999,11.4509
165.999,11.4399
166.998,11.4299
167.998,11.4203
168.998,11.4108
169.999,11.4005
170.999,11.3913
171.999,11.3814
172.998,11.3714
173.999,11.3606
174.999,11.3523
175.999,11.3422
176.998,11.3336
177.998,11.3232
178.999,11.3139
179.999,11.3031
180.999,11.2936
181.998,11.2848
182.999,11.2743
183.999,11.2632
184.999,11.255
185.999,11.2459
186.998,11.2351
187.998,11.2272
188.999,11.2185
189.999,11.2093
190.999,11.1999
191.998,11.1905
192.998,11.1814
193.999,11.1714
194.999,11.1625
195.999,11.1535
196.998,11.1445
197.998,11.135
198.999,11.1261
199.999,11.1165
200.999,11.1077
201.999,11.0985
202.998,11.0887
203.999,11.081
204.999,11.0717
205.999,11.0626
206.999,11.0534
207.998,11.0443
208.998,11.0353
209.999,11.0273
210.999,11.0181
211.999,11.0088
212.999,10.9994
213.999,10.9912
214.999,10.9821
215.998,10.973
216.999,10.9626
217.999,10.9539
218.999,10.9458
219.998,10.9365
220.998,10.927
221.999,10.9181
222.999,10.9085
223.998,10.8993
224.998,10.8903
225.999,10.8804
226.999,10.8716
227.998,10.8621
228.999,10.8531
229.999,10.8444
230.999,10.8344
231.998,10.8266
232.999,10.8176
233.999,10.8085
234.999,10.7995
235.998,10.7918
236.999,10.7819
237.999,10.773
238.999,10.7642
239.998,10.7559
240.999,10.7471
241.998,10.7382
242.999,10.7294
243.999,10.7199
244.999,10.7108
245.998,10.7021
246.999,10.693
247.999,10.6847
248.999,10.6755
249.999,10.6658
250.998,10.6581
251.999,10.6491
252.999,10.6415
253.998,10.6323
254.999,10.6241
255.998,10.6162
256.998,10.6074
257.998,10.5986
258.997,10.59
259.998,10.5828
260.998,10.5735
261.997,10.5644
262.998,10.5561
263.997,10.5482
264.997,10.5394
265.997,10.5304
266.998,10.523
267.998,10.5139
268.997,10.5045
269.997,10.4967
270.998,10.4878
271.997,10.4797
272.998,10.472
273.998,10.4626
274.998,10.4552
275.998,10.4464
276.998,10.4383
277.997,10.4298
278.997,10.4202
279.998,10.4131
280.998,10.4048
281.998,10.3961
282.997,10.3877
283.997,10.3797
284.998,10.3712
285.998,10.3628
286.997,10.3538
287.997,10.3452
288.998,10.3377
289.997,10.3282
290.997,10.3214
291.997,10.3126
292.998,10.304
293.998,10.2954
294.998,10.2875
295.997,10.2794
296.998,10.2712
297.998,10.264
298.997,10.254
299.998,10.2467
300.997,10.2384
301.998,10.23
302.998,10.2225
303.997,10.2146
304.998,10.2059
305.998,10.1982
306.997,10.1893
307.998,10.181
308.998,10.1731
309.997,10.1641
310.998,10.1557
311.998,10.1471
312.997,10.1392
313.998,10.1313
314.997,10.1237
315.998,10.1144
316.998,10.1057
317.997,10.0984
318.998,10.0897
319.997,10.0821
320.998,10.0742
321.998,10.0656
322.998,10.0582
323.998,10.0502
324.998,10.0418
325.998,10.0336
326.998,10.0248
327.998,10.0165
328.997,10.0095
329.998,10.0011
330.998,9.9927
331.999,9.9847
332.999,9.9764
333.999,9.9682
334.999,9.9605
335.998,9.9525
336.999,9.9451
337.999,9.937
338.999,9.9296
339.999,9.9217
340.998,9.9144
341.999,9.9069
342.998,9.8992
343.999,9.8927
344.998,9.8851
345.999,9.8779
346.999,9.8703
347.998,9.8619
348.999,9.8549
349.999,9.8477
350.998,9.8396
351.999,9.8326
352.999,9.8253
353.999,9.8167
354.999,9.8101
355.998,9.8013
356.999,9.7938
357.998,9.7857
358.999,9.7779
359.998,9.7703
360.999,9.7622
361.999,9.7535
362.998,9.7463
363.999,9.7375
364.999,9.7297
365.998,9.7224
366.999,9.7141
367.998,9.707
368.999,9.6986
369.999,9.6922
370.998,9.6837
371.999,9.6753
372.999,9.668
373.999,9.66
374.999,9.6508
375.999,9.645
376.999,9.6359
377.999,9.6285
378.999,9.6203
379.998,9.6132
380.999,9.6053
381.998,9.5979
382.999,9.5898
383.998,9.5819
384.999,9.575
385.999,9.5673
386.998,9.5594
387.999,9.5523
388.999,9.5442
389.999,9.5374
390.999,9.5289
391.998,9.5218
392.999,9.5144
393.999,9.5069
394.998,9.4994
395.999,9.4917
396.998,9.4841
397.999,9.4778
398.999,9.4706
399.998,9.4624
400.999,9.4553
401.998,9.4472
402.999,9.4408
403.999,9.4335
404.999,9.4258
405.999,9.4179
406.998,9.4098
407.999,9.4038
408.999,9.3966
409.999,9.3885
410.999,9.3817
411.998,9.3739
412.998,9.3666
413.999,9.3592
414.999,9.3521
415.999,9.3446
416.999,9.337
417.998,9.33
418.999,9.3235
419.999,9.3159
420.999,9.3088
421.999,9.3014
422.998,9.294
423.998,9.2864
424.999,9.2795
425.999,9.2719
426.999,9.2648
427.999,9.258
428.998,9.2499
429.999,9.2439
430.999,9.2358
431.999,9.2288
432.999,9.2211
433.999,9.2149
434.998,9.2081
435.999,9.2006
436.999,9.1941
437.998,9.1873
438.998,9.1804
439.999,9.1727
440.999,9.1665
441.999,9.1596
442.999,9.1522
443.998,9.1457
444.999,9.1387
445.999,9.1318
446.999,9.1253
447.999,9.1182
448.999,9.1108
449.998,9.1045
450.998,9.0969
451.999,9.0902
452.999,9.0834
453.999,9.0768
454.998,9.0701
455.998,9.063
456.999,9.0555
457.999,9.0486
458.999,9.0419
459.998,9.0357
460.999,9.028
461.999,9.0207
462.999,9.0141
463.999,9.0076
464.999,9.0002
465.999,8.9938
466.998,8.987
467.999,8.9798
468.999,8.9718
469.999,8.9647
470.998,8.958
471.999,8.9503
