t (s),V (mV)
358.079,9.205
359.078,9.1952
360.079,9.1852
361.079,9.1748
362.079,9.1644
363.078,9.1534
364.079,9.144
365.079,9.1348
366.079,9.1238
367.078,9.1147
368.079,9.1042
369.079,9.0939
370.078,9.0839
371.079,9.0736
372.079,9.0636
373.078,9.0543
374.079,9.0444
375.079,9.0345
376.079,9.0234
377.079,9.0141
378.079,9.0036
379.079,8.9942
380.078,8.9847
381.079,8.9754
382.079,8.965
383.079,8.9564
384.078,8.9469
385.079,8.9377
