t (s),V (mV)
0,12.8389
1,12.8154
2,12.7912
2.999,12.7683
3.999,12.7432
5,12.7188
6,12.6943
7,12.6709
8,12.6464
9,12.6217
10,12.5978
11,12.574
12,12.5498
13,12.5263
14,12.5024
15,12.4787
16,12.4547
17,12.431
18,12.4069
19,12.3838
20,12.36
20.999,12.3362
22,12.3125
23,12.2903
23.999,12.266
25,12.2437
26,12.2192
26.999,12.1969
27.999,12.1734
29,12.1504
30,12.1274
31,12.1053
32,12.0813
33,12.0577
33.999,12.0346
35,12.0116
36,11.9882
37,11.9651
37.999,11.9424
39,11.9187
40,11.8959
40.999,11.8733
42,11.8498
42.999,11.8275
43.999,11.8048
45,11.7812
45.999,11.7589
47,11.7368
48,11.7142
48.999,11.6918
49.999,11.6691
51,11.6467
51.999,11.6245
53,11.6027
54,11.5801
54.999,11.5573
56,11.5365
57,11.5139
57.999,11.4916
58.999,11.4696
60,11.4479
61,11.4259
62,11.404
63,11.3829
64,11.3613
65,11.338
66,11.3169
66.999,11.2957
68,11.2738
69,11.2524
70,11.2301
71,11.2091
72,11.1873
73,11.1667
74,11.1446
75,11.1239
75.999,11.103
76.999,11.0815
78,11.0615
79,11.0409
80,11.0202
81,10.9997
82,10.9793
83,10.9589
84,10.9383
85,10.9174
85.999,10.8969
86.999,10.8763
88,10.8556
89,10.8356
89.999,10.8144
90.999,10.7944
92,10.7749
93,10.7542
93.999,10.7339
95,10.7141
96.001,10.6944
97,10.6747
98,10.6546
99,10.6336
100,10.6126
100.999,10.5928
101.999,10.5728
102.998,10.5522
103.999,10.5319
104.998,10.5123
105.998,10.492
106.998,10.4726
107.999,10.4526
108.998,10.4328
109.998,10.4124
110.999,10.3936
111.998,10.3735
112.998,10.3531
113.999,10.3334
114.998,10.3143
115.999,10.2946
116.999,10.2751
117.999,10.2552
118.999,10.2357
119.999,10.2176
120.999,10.1993
121.998,10.1796
122.999,10.1614
123.999,10.1431
124.998,10.125
125.999,10.1059
126.998,10.0874
127.999,10.0694
128.999,10.0493
129.999,10.0316
130.999,10.0126
132,9.9944
133,9.9754
134,9.9575
135,9.9386
136,9.9195
137,9.9013
138,9.8825
138.999,9.8642
140,9.8443
141,9.8266
142,9.8077
142.999,9.7894
144,9.7695
144.999,9.7521
146,9.7329
147,9.7151
148,9.6966
149,9.6781
150,9.6599
151,9.6404
152,9.6229
153,9.6056
154,9.5875
155,9.5703
155.999,9.5525
156.999,9.535
157.999,9.5183
159,9.4999
160,9.4832
161,9.4663
162,9.4486
163,9.4313
164,9.4134
165,9.3962
166,9.3795
167,9.3622
168,9.345
169,9.328
170,9.3109
171,9.2931
172,9.276
173,9.2584
174,9.2413
175,9.2236
175.999,9.2065
176.999,9.1884
177.999,9.1718
179,9.1542
180,9.1366
181,9.1198
182,9.1026
183,9.0862
184,9.0686
185,9.0516
186,9.0346
187,9.018
188,9.0007
189,8.9835
189.999,8.9679
191,8.9505
192,8.9343
192.999,8.9177
194,8.9019
195,8.8852
196,8.8708
196.999,8.8545
198,8.8384
199,8.8227
200,8.8064
201,8.7904
201.999,8.7745
203,8.7587
204,8.7427
205,8.7268
206,8.7117
206.999,8.6951
208,8.6799
209,8.6632
210,8.6463
211,8.6301
212,8.614
213,8.5971
214,8.5808
215,8.5648
215.999,8.5501
217,8.5332
218,8.5172
218.999,8.5006
220,8.4855
221,8.4699
222,8.4552
223,8.4406
224,8.4248
225,8.4101
225.999,8.3947
227,8.3798
228,8.3649
229,8.3498
230,8.3357
231,8.3207
232,8.3058
233,8.2907
234,8.2752
235,8.2606
235.999,8.244
237,8.2295
237.999,8.2144
239,8.1994
239.999,8.1835
241,8.1688
242,8.1524
243,8.1377
243.999,8.1229
245,8.1076
245.999,8.0926
247,8.0761
247.999,8.0623
249,8.0469
249.999,8.0319
251,8.018
252,8.0036
253,7.9884
254,7.9753
254.999,7.9613
256,7.9479
257,7.9323
257.999,7.9187
259,7.9051
260,7.8909
260.999,7.8769
262,7.8632
263,7.8496
263.999,7.8351
265,7.8202
266,7.8067
267,7.7911
268,7.7768
269,7.7639
270,7.7478
271,7.7333
272,7.7197
272.999,7.7052
274,7.6906
275,7.6766
276,7.6627
276.999,7.6489
278,7.636
279,7.6223
280,7.6096
281,7.5963
282,7.5827
283,7.5699
283.999,7.5567
285,7.5427
286,7.5295
287,7.5168
287.999,7.504
289,7.4902
290,7.4769
291,7.4635
292,7.4489
293,7.4355
294,7.4219
295,7.407
296,7.3948
297,7.3809
298,7.3667
299,7.3537
299.999,7.34
301,7.3259
302,7.3132
303,7.3005
303.999,7.2869
305,7.2744
306,7.2613
307,7.2488
308,7.2365
309,7.2229
310,7.2105
310.999,7.1976
311.999,7.1853
313,7.1735
314,7.1606
315,7.1478
315.999,7.1354
316.999,7.1225
318,7.1104
319,7.0978
320,7.0862
321,7.0731
322,7.0606
322.999,7.0471
324,7.0345
325,7.0227
326,7.0086
327,6.9969
327.999,6.9833
328.999,6.9712
